image_number,house_score,yard_score,driveway_score,street_score,total_score,label,image_name
img_001,1,1,1,0,3,poor,img_001.png
img_002,1,0,0,0,1,poor,img_002.png
img_003,2,2,1,1,6,average,img_003.png
img_004,0,1,0,1,2,poor,img_004.png
img_005,2,2,2,1,7,well_maintained,img_005.png
img_006,2,2,2,2,8,well_maintained,img_006.png
img_007,2,2,2,2,8,well_maintained,img_007.png
img_008,2,2,2,2,8,well_maintained,img_008.png
img_009,2,2,2,2,8,well_maintained,img_009.png
img_010,2,2,2,2,8,well_maintained,img_010.png
img_011,1,1,0,1,3,poor,img_011.png
img_012,2,1,0,1,4,average,img_012.png
img_013,0,0,0,1,3,poor,img_013.png
img_014,2,2,1,1,6,average,img_014.png
img_015,2,2,2,2,8,well_maintained,img_015.png
img_016,2,2,1,1,6,average,img_016.png
img_017,1,1,1,1,4,average,img_017.png
img_018,0,0,0,0,0,poor,img_018.png
img_019,1,0,0,0,1,poor,img_019.png
img_020,0,2,1,0,4,average,img_020.png
img_021,1,0,0,0,1,poor,img_021.png
img_022,2,1,1,0,4,average,img_022.png
img_023,2,1,0,0,3,poor,img_023.png
img_024,0,0,0,1,1,poor,img_024.png
img_025,1,0,0,1,2,poor,img_025.png
img_026,1,2,1,1,5,average,img_026.png
img_027,1,1,1,1,4,average,img_027.png
img_028,1,2,1,1,5,average,img_028.png
img_029,1,2,1,2,6,average,img_029.png
img_030,1,1,1,1,4,average,img_030.png
img_031,2,1,1,2,6,average,img_031.png
img_032,2,1,1,2,6,average,img_032.png
img_033,2,2,2,2,8,well_maintained,img_033.png
img_034,2,2,1,2,7,well_maintained,img_034.png
img_035,2,2,2,2,8,well_maintained,img_035.png
img_036,1,0,0,1,2,poor,img_036.png
img_037,1,1,0,1,3,poor,img_037.png
img_038,0,0,1,0,1,poor,img_038.png
img_039,0,0,0,1,1,poor,img_039.png
img_040,1,0,0,1,2,poor,img_040.png
img_041,1,0,0,1,2,poor,img_041.png
img_042,1,1,0,0,2,poor,img_042.png
img_043,1,2,1,2,4,average,img_043.png
img_044,2,1,1,1,4,average,img_044.png
img_045,2,2,1,1,6,average,img_045.png
img_046,2,1,1,1,5,average,img_046.png
img_047,2,1,1,1,4,average,img_047.png
img_048,2,1,1,1,5,average,img_048.png
img_049,2,2,1,1,6,average,img_049.png
img_050,1,1,1,1,4,average,img_050.png
img_051,2,2,1,1,6,average,img_051.png
img_052,2,2,2,2,8,well_maintained,img_052.png
img_053,2,1,1,2,6,average,img_053.png
img_054,2,1,2,2,7,well_maintained,img_054.png
img_055,2,2,2,2,8,well_maintained,img_055.png
img_056,2,2,2,2,8,well_maintained,img_056.png
img_057,2,2,2,2,8,well_maintained,img_057.png
img_058,2,2,1,2,7,well_maintained,img_058.png
img_059,2,2,2,2,8,well_maintained,img_059.png
img_060,2,2,2,2,8,well_maintained,img_060.png
img_061,2,2,2,2,8,well_maintained,img_061.png
img_062,2,2,2,2,8,well_maintained,img_062.png
img_063,2,1,2,2,7,well_maintained,img_063.png
img_064,1,1,0,1,3,poor,img_064.png
img_065,2,0,1,0,3,poor,img_065.png
img_066,1,0,1,1,3,poor,img_066.png
img_067,1,0,1,1,3,poor,img_067.png
img_068,0,0,1,0,1,poor,img_068.png
img_069,1,1,1,0,3,poor,img_069.png
img_070,1,1,1,2,5,average,img_070.png
img_071,2,2,1,1,6,average,img_071.png
img_072,1,2,1,1,5,average,img_072.png
img_073,0,1,1,1,3,poor,img_073.png
img_074,2,0,1,1,4,average,img_074.png
img_075,1,1,2,1,5,average,img_075.png
img_076,2,2,1,2,7,well_maintained,img_076.png
img_077,2,2,2,2,8,well_maintained,img_077.png
img_078,2,1,2,2,7,well_maintained,img_078.png
img_079,2,2,2,1,7,well_maintained,img_079.png
