image_number,house_score,yard_score,driveway_score,street_score,total_score,label
img_001,1,1,1,0,3,poor
img_002,1,0,0,0,1,poor
img_003,2,2,1,1,6,average
img_004,0,1,0,1,2,poor
img_005,2,2,2,1,7,well-maintained
img_006,2,2,2,2,8,well-maintained
img_007,2,2,2,2,8,well-maintained
img_008,2,2,2,2,8,well-maintained
img_009,2,2,2,2,8,well-maintained
img_010,2,2,2,2,8,well-maintained
img_011,1,1,0,1,3,poor
img_012,2,1,0,1,4,average
img_013,0,0,0,1,3,poor
img_014,2,2,1,1,6,average
img_015,2,2,2,2,8,well-maintained
img_016,2,2,1,1,6,average
img_017,1,1,1,1,4,average
img_018,0,0,0,0,0,poor
img_019,1,0,0,0,1,poor
img_020,0,2,1,0,4,average
img_021,1,0,0,0,1,poor
img_022,2,1,1,0,4,average
img_023,2,1,0,0,3,poor
img_024,0,0,0,1,1,poor
img_025,1,0,0,1,2,poor
img_026,1,2,1,1,5,average
img_027,1,1,1,1,4,average
img_028,1,2,1,1,5,average
img_029,1,2,1,2,6,average
img_030,1,1,1,1,4,average
img_031,2,1,1,2,6,average
img_032,2,1,1,2,6,average
img_033,2,2,2,2,8,well-maintained
img_034,2,2,1,2,7,average
img_035,2,2,2,2,8,well-maintained
img_036,1,0,0,1,2,poor
img_037,1,1,0,1,3,poor
img_038,0,0,1,0,1,poor
img_039,0,0,0,1,1,poor
img_040,1,0,0,1,2,poor
img_041,1,0,0,1,2,poor
img_042,1,1,0,0,2,poor
img_043,1,2,1,2,4,average
img_044,2,1,1,1,4,average
img_045,2,2,1,1,6,average
img_046,2,1,1,1,5,average
img_047,2,1,1,1,4,average
img_048,2,1,1,1,5,average
img_049,2,2,1,1,6,average
img_050,1,1,1,1,4,average
img_051,2,2,1,1,6,average
img_052,2,2,2,2,8,well-maintained
img_053,2,1,1,2,6,average
img_054,2,1,2,2,7,well-maintained
img_055,2,2,2,2,8,well-maintained
img_056,2,2,2,2,8,well-maintained
img_057,2,2,2,2,8,well-maintained
img_058,2,2,1,2,7,well-maintained
img_059,2,2,2,2,8,well-maintained
img_060,2,2,2,2,8,well-maintained
img_061,2,2,2,2,8,well-maintained
img_062,2,2,2,2,8,well-maintained
img_063,2,1,2,2,7,well-maintained
img_064,1,1,0,1,3,poor
img_065,2,0,1,0,3,poor
img_066,1,0,1,1,3,poor
img_067,1,0,1,1,3,poor
img_068,0,0,1,0,1,poor
img_069,1,1,1,0,3,poor
img_070,1,1,1,2,5,average
img_071,2,2,1,1,6,average
img_072,1,2,1,1,5,average
img_073,0,1,1,1,3,average
img_074,2,0,1,1,4,average
img_075,1,1,2,1,5,average
img_076,2,2,1,2,7,well-maintained
img_077,2,2,2,2,8,well-maintained
img_078,2,1,2,2,7,well-maintained
img_079,2,2,2,1,7,well-maintained
img_080,,,,,,
img_081,,,,,,
img_082,,,,,,
img_083,,,,,,
img_084,,,,,,
img_085,,,,,,
img_086,,,,,,
img_087,,,,,,
img_088,,,,,,
img_089,,,,,,
img_090,,,,,,
img_091,,,,,,
img_092,,,,,,
img_093,,,,,,
img_094,,,,,,
img_095,,,,,,
img_096,,,,,,
img_097,,,,,,
img_098,,,,,,
img_099,,,,,,
img_100,,,,,,
img_101,,,,,,
img_102,,,,,,
img_103,,,,,,
img_104,,,,,,
img_105,,,,,,
img_106,,,,,,
img_107,,,,,,
img_108,,,,,,
img_109,,,,,,
img_110,,,,,,
img_111,,,,,,
img_112,,,,,,
img_113,,,,,,
img_114,,,,,,
img_115,,,,,,
img_116,,,,,,
img_117,,,,,,
img_118,,,,,,
img_119,,,,,,
